,airfoil_name,reynolds_number,angle_of_attack,lift_coefficient,drag_coefficient,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,y_68
0,AQUILA,59400.0,-1.86,0.261,0.0238,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
1,AQUILA,59400.0,-0.83,0.352,0.0224,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
2,AQUILA,59400.0,0.18,0.445,0.0213,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
3,AQUILA,59400.0,1.2,0.525,0.0224,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
4,AQUILA,59400.0,2.23,0.607,0.0298,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
5,AQUILA,59400.0,3.23,0.686,0.0291,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
6,AQUILA,59400.0,4.26,0.764,0.0354,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
7,AQUILA,59400.0,5.27,0.839,0.0358,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
8,AQUILA,59400.0,6.28,0.911,0.0404,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
9,AQUILA,59400.0,7.3,0.989,0.0373,1.0,0.98,0.92667,0.87333,0.82,0.76,0.70667,0.65333,0.6,0.54667,0.49333,0.44,0.39333,0.34667,0.31333,0.27333,0.23333,0.19333,0.16,0.12667,0.09333,0.06,0.04667,0.03333,0.02667,0.02,0.01333,0.01,0.00667,0.00333,0.0,0.00667,0.01,0.01333,0.02,0.02667,0.03333,0.04667,0.06,0.09333,0.12667,0.16,0.19333,0.23333,0.27333,0.31333,0.34667,0.39333,0.44,0.49333,0.54667,0.6,0.65333,0.70667,0.76,0.82,0.87333,0.92667,0.98,1.0,,,,,,,,,,0.0,0.0034,0.0124,0.0215,0.03065,0.04077,0.04945,0.05768,0.0653,0.07214,0.07799,0.08263,0.08551,0.0871,0.08735,0.08655,0.08438,0.08055,0.07577,0.06914,0.06012,0.04786,0.04171,0.03454,0.03045,0.02587,0.02052,0.01739,0.01377,0.00929,0.0,-0.00725,-0.0081,-0.00862,-0.00917,-0.0094,-0.00947,-0.00939,-0.0092,-0.00866,-0.00821,-0.00787,-0.00758,-0.00724,-0.00688,-0.0065,-0.00618,-0.00574,-0.0053,-0.0048,-0.0043,-0.0038,-0.0033,-0.00279,-0.00229,-0.00173,-0.00122,-0.0007,-0.00019,0.0,,,,,,,,,
